x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 7.855897928507551, -6.590517408374929, -4.069516927786485
1.94469038e-03, 0.00000000e+00, 0.00000000e+00, 13.206131280393095, 5.409407175626947, -6.130602342789291, -3.741394049154202
1.77656306e-03, 7.90976837e-04, 0.00000000e+00, 7.0508163764682195, 5.766576520870021, -6.89772053236518, -3.717505490208298
1.30125185e-03, 1.44518659e-03, 0.00000000e+00, -0.8869613940075283, 6.485037160311301, -7.547818845270232, -3.765532826437622
6.00942377e-04, 1.84951046e-03, 0.00000000e+00, -9.275443908484363, 7.60155003626553, -8.091864232331893, -3.937989140548968
-2.03275497e-04, 1.93403716e-03, 0.00000000e+00, -16.755843255862146, 8.718746433064055, -8.416510633874223, -4.093125632470771
-9.72345191e-04, 1.68415127e-03, 0.00000000e+00, -21.87156916249154, 9.635342015007168, -8.483663566564262, -4.227161328423214
-1.57328757e-03, 1.14306033e-03, 0.00000000e+00, -23.366354192819017, 10.245373982177542, -8.257520865091202, -4.316269932400255
-1.90219423e-03, 4.04323865e-04, 0.00000000e+00, -20.78559200753216, 10.436266507274055, -7.760074547642431, -4.361950003427684
-1.90219423e-03, -4.04323865e-04, 0.00000000e+00, -14.727559540869265, 10.114469908735265, -6.9692042625682395, -4.358021524128675
-1.57328757e-03, -1.14306033e-03, 0.00000000e+00, -6.4833559545177195, 9.380826253486552, -6.116042950817423, -4.304618019870619
-9.72345191e-04, -1.68415127e-03, 0.00000000e+00, 2.355815573513155, 8.460640260405697, -5.329370157374348, -4.274859701597594
-2.03275497e-04, -1.93403716e-03, 0.00000000e+00, 9.88864991690275, 7.42899254757021, -4.911410585007324, -4.1287835107388045
6.00942377e-04, -1.84951046e-03, 0.00000000e+00, 15.336443894835497, 6.516203841510298, -4.6457679959081215, -4.08400708915297
1.30125185e-03, -1.44518659e-03, 0.00000000e+00, 17.74369490624815, 5.748394171561418, -4.925208227309616, -3.8960487777355293
1.77656306e-03, -7.90976837e-04, 0.00000000e+00, 17.009234833179562, 5.345138157351788, -5.398639285087572, -3.808716089899099
1.19727095e-03, 0.00000000e+00, 1.53243693e-03, 1.920352486816796, 6.52219821238836, -6.259384179638899, -4.752753495269293
1.09376144e-03, 7.90976837e-04, 1.39995080e-03, -3.5464175224028054, 6.83417070982862, -6.990538322549203, -4.671323608867689
8.01130636e-04, 1.44518659e-03, 1.02540045e-03, -8.832999568141304, 7.4199956292705815, -7.693292282423359, -4.501328303954346
3.69977070e-04, 1.84951046e-03, 4.73549055e-04, -13.121034825950517, 8.002363714054775, -8.167704445373293, -4.268924332201983
-1.25148892e-04, 1.93403716e-03, -1.60183278e-04, -15.385391459005177, 8.562623213034907, -8.37331529928987, -4.000224170104756
-5.98635475e-04, 1.68415127e-03, -7.66218466e-04, -15.102106901644731, 8.999013793115559, -8.305401198297174, -3.7436359633078444
-9.68612545e-04, 1.14306033e-03, -1.23976752e-03, -12.24203015090501, 9.229939162332121, -7.965250980142119, -3.5318080589519076
-1.17110771e-03, 4.04323865e-04, -1.49894951e-03, -7.355072315357518, 9.198876771134167, -7.363977087578072, -3.409768380632575
-1.17110771e-03, -4.04323865e-04, -1.49894951e-03, -1.5158233542346693, 8.977362577883673, -6.644352851206508, -3.4208357967700804
-9.68612545e-04, -1.14306033e-03, -1.23976752e-03, 4.088838770285236, 8.483775053185436, -5.875368156057242, -3.5329537424512027
-5.98635475e-04, -1.68415127e-03, -7.66218466e-04, 8.678856293701585, 7.9216755110856845, -5.332049924017461, -3.7232761049021956
-1.25148892e-04, -1.93403716e-03, -1.60183278e-04, 11.146061592415663, 7.322425510414835, -4.879000868700535, -4.0418897106296185
3.69977070e-04, -1.84951046e-03, 4.73549055e-04, 11.66448058657926, 6.840928339685476, -4.6709975918120135, -4.4196616856783315
8.01130636e-04, -1.44518659e-03, 1.02540045e-03, 10.056329381761373, 6.520289836733895, -4.869591201049721, -4.681172463093478
1.09376144e-03, -7.90976837e-04, 1.39995080e-03, 6.603525280659483, 6.433756134725704, -5.401448733334766, -4.8211943611728945
-4.70463183e-04, 5.76151232e-20, 1.88692477e-03, -13.126664742531261, 8.697173015130874, -6.768726502496579, -5.247492886156136
-4.29789504e-04, 7.90976837e-04, 1.72379155e-03, -17.68898801771445, 8.967669526716081, -7.485165299787862, -5.196651605766955
-3.14801315e-04, 1.44518659e-03, 1.26259911e-03, -19.404008408088146, 8.966570555289767, -8.075195161242334, -4.8764329127200865
-1.45381119e-04, 1.84951046e-03, 5.83091820e-04, -18.057054589220456, 8.730184129354969, -8.35863280321694, -4.436413361732339
4.91767936e-05, 1.93403716e-03, -1.97237346e-04, -13.714888260636087, 8.35369688875851, -8.333011111103925, -3.954440267438633
2.35231592e-04, 1.68415127e-03, -9.43462383e-04, -7.187248479672974, 7.85881101527784, -8.03242254211342, -3.483272305496732
3.80612711e-04, 1.14306033e-03, -1.52655420e-03, 0.29324931007874966, 7.387307498855712, -7.522204770679532, -3.1132752202860727
4.60182434e-04, 4.04323865e-04, -1.84569093e-03, 7.392385763748109, 7.026414601071269, -6.892269847469524, -2.8969209162766028
4.60182434e-04, -4.04323865e-04, -1.84569093e-03, 12.84307802334422, 6.808319385170274, -6.149671205818245, -2.912048806913744
3.80612711e-04, -1.14306033e-03, -1.52655420e-03, 15.64219805515711, 6.770650491280925, -5.563373571214509, -3.098299479600208
2.35231592e-04, -1.68415127e-03, -9.43462383e-04, 15.611840581437662, 6.875253176007602, -4.996039595405845, -3.530223286644325
4.91767936e-05, -1.93403716e-03, -1.97237346e-04, 12.636523103059517, 7.114955546315073, -4.867103998728551, -3.94665719478807
-1.45381119e-04, -1.84951046e-03, 5.83091820e-04, 7.307721620948598, 7.452724995643237, -4.946200592438529, -4.457152010672753
-3.14801315e-04, -1.44518659e-03, 1.26259911e-03, 0.5915982370150914, 7.904177885431487, -5.369415407031167, -4.871847762753277
-4.29789504e-04, -7.90976837e-04, 1.72379155e-03, -6.544648163784586, 8.354379084713276, -5.93231873399305, -5.2049923290064655
-1.77656306e-03, 2.17566227e-19, 7.90976837e-04, -20.08864711618901, 10.22126634819745, -7.323784863677688, -4.7597852216447025
-1.62297112e-03, 7.90976837e-04, 7.22593297e-04, -24.330937681790772, 10.311123794603702, -7.999921042555871, -4.700071269659382
-1.18875272e-03, 1.44518659e-03, 5.29266811e-04, -24.389364551668393, 9.970028300432928, -8.415483425692495, -4.5483025646942465
-5.48988178e-04, 1.84951046e-03, 2.44425285e-04, -20.294127823732993, 9.202937252433278, -8.506977311013683, -4.275625332535783
1.85701407e-04, 1.93403716e-03, -8.26795933e-05, -13.056346803554618, 8.188322281562572, -8.303730533279705, -3.950212579454186
8.88281532e-04, 1.68415127e-03, -3.95488419e-04, -4.214823187301761, 7.080656967421378, -7.87847557719779, -3.628737810410714
