x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 5.46138264683444, -5.740060089536679, -4.91127845609758
1.94469038e-03, 0.00000000e+00, 0.00000000e+00, 9.11528340598511, 3.629438549410842, -5.442579942970695, -4.750067666370086
1.77656306e-03, 7.90976837e-04, 0.00000000e+00, 3.8028394647845403, 3.899083411585894, -6.00951416565804, -4.75926172288904
1.30125185e-03, 1.44518659e-03, 0.00000000e+00, -2.4864309053737657, 4.446370474741865, -6.55299783378214, -4.784089244836232
6.00942377e-04, 1.84951046e-03, 0.00000000e+00, -8.781720096306458, 5.184823290346028, -6.9472033032627625, -4.84562135180398
-2.03275497e-04, 1.93403716e-03, 0.00000000e+00, -14.035272687384804, 5.9972696263418, -7.165640211609758, -4.908300988387738
-9.72345191e-04, 1.68415127e-03, 0.00000000e+00, -17.241454405996706, 6.716333610666727, -7.15062960942903, -4.965444410266829
-1.57328757e-03, 1.14306033e-03, 0.00000000e+00, -17.658537778204845, 7.203509745938321, -6.890257305534004, -5.012326695404086
-1.90219423e-03, 4.04323865e-04, 0.00000000e+00, -15.11029025384147, 7.373526630779057, -6.394508901359981, -5.076507122074493
-1.90219423e-03, -4.04323865e-04, 0.00000000e+00, -10.038888129130271, 7.212945898320637, -5.801326426496214, -5.101176505303466
-1.57328757e-03, -1.14306033e-03, 0.00000000e+00, -3.4446770801491198, 6.740734039406688, -5.17007790758714, -5.10776998547983
-9.72345191e-04, -1.68415127e-03, 0.00000000e+00, 3.20969973529526, 6.091349977350904, -4.590137735977399, -5.128734908460902
-2.03275497e-04, -1.93403716e-03, 0.00000000e+00, 8.843387463945305, 5.354032227583738, -4.291826466081472, -5.085812942855716
6.00942377e-04, -1.84951046e-03, 0.00000000e+00, 12.643553994727199, 4.610628506083918, -4.216825263330767, -5.0133422648235335
1.30125185e-03, -1.44518659e-03, 0.00000000e+00, 13.953711039693644, 4.019152624495849, -4.421618451101675, -4.916365528497819
1.77656306e-03, -7.90976837e-04, 0.00000000e+00, 12.699140324227585, 3.6337907817509194, -4.927353059479693, -4.759916306282302
1.19727095e-03, 0.00000000e+00, 1.53243693e-03, -2.227314064985933, 4.498735750794422, -5.344430875691038, -5.78506853604951
1.09376144e-03, 7.90976837e-04, 1.39995080e-03, -6.698082767571009, 4.68261402325747, -6.088190617459076, -5.575944579224867
8.01130636e-04, 1.44518659e-03, 1.02540045e-03, -10.302136237236311, 5.016815147193575, -6.611091064235223, -5.377703339189665
