x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 5.461028233784354, -5.7411905922054345, 4.911099722427668
1.94469038e-03, 0.00000000e+00, 0.00000000e+00, 9.115103504424951, 3.6296288059214263, -5.44274527445803, 4.749957399882054
1.77656306e-03, 7.90976837e-04, 0.00000000e+00, 3.8025740491222564, 3.8990112007612194, -6.009407078137707, 4.759316372300074
1.30125185e-03, 1.44518659e-03, 0.00000000e+00, -2.4866041059503345, 4.446377126572634, -6.552939724161612, 4.784065879548158
6.00942377e-04, 1.84951046e-03, 0.00000000e+00, -8.781824988638277, 5.184494254170181, -6.947251338727895, 4.845552334097446
-2.03275497e-04, 1.93403716e-03, 0.00000000e+00, -14.035447421277752, 5.996864334284113, -7.16496257066361, 4.908809157987845
-9.72345191e-04, 1.68415127e-03, 0.00000000e+00, -17.24156782394965, 6.71629424448298, -7.151025905101283, 4.965127684632196
-1.57328757e-03, 1.14306033e-03, 0.00000000e+00, -17.660221258700858, 7.203187259094475, -6.888782708604025, 5.014677482302512
-1.90219423e-03, 4.04323865e-04, 0.00000000e+00, -15.10726888361637, 7.377695688939954, -6.403960947061695, 5.072374060496255
-1.90219423e-03, -4.04323865e-04, 0.00000000e+00, -10.02854704111445, 7.2214206649610135, -5.82906976409959, 5.095830217911446
-1.57328757e-03, -1.14306033e-03, 0.00000000e+00, -3.4494427143133635, 6.741631396464921, -5.16387668998758, 5.11186166269962
-9.72345191e-04, -1.68415127e-03, 0.00000000e+00, 3.183818563386808, 6.106867936967924, -4.586420213539463, 5.154146744200006
-2.03275497e-04, -1.93403716e-03, 0.00000000e+00, 8.844788828853382, 5.348819656527274, -4.282562978764129, 5.09274521689233
6.00942377e-04, -1.84951046e-03, 0.00000000e+00, 12.722274414332162, 4.591693304782105, -4.114531087310721, 5.081705772519896
1.30125185e-03, -1.44518659e-03, 0.00000000e+00, 14.092954670852293, 4.031955092898544, -4.2861278796974425, 5.0315720850075625
1.77656306e-03, -7.90976837e-04, 0.00000000e+00, 12.701481841610644, 3.6402070684764576, -4.912649203648084, 4.776843306564065
1.19727095e-03, 0.00000000e+00, 1.53243693e-03, 13.07231392217767, 4.205655449868162, -5.533620553530104, 4.040343778966253
1.09376144e-03, 7.90976837e-04, 1.39995080e-03, 7.301521749447602, 4.425481787665079, -6.107674963533137, 4.112195759133752
8.01130636e-04, 1.44518659e-03, 1.02540045e-03, -0.017912243724481414, 4.840568321016289, -6.602384143047368, 4.341625429426025
3.69977070e-04, 1.84951046e-03, 4.73549055e-04, -7.676795962182041, 5.3736288818775195, -6.964944974775085, 4.653330115807957
-1.25148892e-04, 1.93403716e-03, -1.60183278e-04, -14.338176501208295, 5.934274014804094, -7.135488511445024, 5.001766945773997
-5.98635475e-04, 1.68415127e-03, -7.66218466e-04, -18.78149620379901, 6.403247480790262, -7.058273306381856, 5.346221580698719
-9.68612545e-04, 1.14306033e-03, -1.23976752e-03, -20.184750488972384, 6.699742108336868, -6.70870212355048, 5.6542231549161555
-1.17110771e-03, 4.04323865e-04, -1.49894951e-03, -18.249203466048073, 6.786985967103257, -6.198195707182199, 5.843788316753376
-1.17110771e-03, -4.04323865e-04, -1.49894951e-03, -13.416425589502921, 6.674458712639094, -5.439607841757816, 6.020865951078073
-9.68612545e-04, -1.14306033e-03, -1.23976752e-03, -6.561641676392185, 6.318924451550534, -4.918419514179902, 5.862422236956762
-5.98635475e-04, -1.68415127e-03, -7.66218466e-04, 1.1713580212334023, 5.808996352385918, -4.482603961403064, 5.559763119406056
-1.25148892e-04, -1.93403716e-03, -1.60183278e-04, 8.426258358195753, 5.282633978767154, -4.224675518225461, 5.214758802158976
3.69977070e-04, -1.84951046e-03, 4.73549055e-04, 13.868075158758415, 4.795433025952577, -4.222109715693137, 4.812789112934888
8.01130636e-04, -1.44518659e-03, 1.02540045e-03, 16.701386981428357, 4.39151772011982, -4.633465451896003, 4.304869428002738
1.09376144e-03, -7.90976837e-04, 1.39995080e-03, 16.338141458683765, 4.191384392371156, -5.022392035484266, 4.087286546771214
