x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 2.112826477211941, -4.859966594446166, -0.005827689268330546
1.94469038e-03, 0.00000000e+00, 0.00000000e+00, 2.8555737103625347, 0.6967329957518859, -4.717639654961234, -0.020214783949128776
1.77656306e-03, 7.90976837e-04, 0.00000000e+00, -1.3147410114360127, 0.8793962455011395, -5.134673968763875, 0.0036599796558099205
1.30125185e-03, 1.44518659e-03, 0.00000000e+00, -5.446282916281632, 1.269863447435828, -5.5061745196682725, 0.013372145383819358
6.00942377e-04, 1.84951046e-03, 0.00000000e+00, -8.926547632615097, 1.8090405051157032, -5.768432443794156, 0.017441687117918363
-2.03275497e-04, 1.93403716e-03, 0.00000000e+00, -11.194049279041337, 2.3981119125990213, -5.874351308402535, 0.013158528655922316
-9.72345191e-04, 1.68415127e-03, 0.00000000e+00, -11.813439810872694, 2.9363309690733543, -5.804890142588156, 0.004922298405496607
-1.57328757e-03, 1.14306033e-03, 0.00000000e+00, -10.58029435738814, 3.3218872011333187, -5.570592001091494, -0.00841803336229233
-1.90219423e-03, 4.04323865e-04, 0.00000000e+00, -7.62650462604347, 3.4983736498679194, -5.212916990538104, -0.01924693633006851
-1.90219423e-03, -4.04323865e-04, 0.00000000e+00, -3.447295858861935, 3.4362674760341045, -4.794638955732685, -0.027108546039645975
-1.57328757e-03, -1.14306033e-03, 0.00000000e+00, 1.175410871922395, 3.1496161855632794, -4.387376564031184, -0.029770673345822143
-9.72345191e-04, -1.68415127e-03, 0.00000000e+00, 5.351295386509946, 2.6834257375003703, -4.06397459659763, -0.03080667832552973
-2.03275497e-04, -1.93403716e-03, 0.00000000e+00, 8.29003774758462, 2.117273487525858, -3.8795831701137917, -0.029448600183004242
6.00942377e-04, -1.84951046e-03, 0.00000000e+00, 9.481401730835728, 1.5448773713566528, -3.8652190482218756, -0.026930203461787917
1.30125185e-03, -1.44518659e-03, 0.00000000e+00, 8.785869998728742, 1.0654779324621708, -4.022353492635778, -0.021409468420194182
1.77656306e-03, -7.90976837e-04, 0.00000000e+00, 6.419198649126713, 0.7648079192929461, -4.323453121413912, -0.011396678965079138
1.19727095e-03, 0.00000000e+00, 1.53243693e-03, 1.2751323069248883, 1.2172530432580848, -4.734849567664024, -1.0119870745359631
1.09376144e-03, 7.90976837e-04, 1.39995080e-03, -2.751666298065743, 1.3532266452702442, -5.147188667157211, -0.9306179047270146
8.01130636e-04, 1.44518659e-03, 1.02540045e-03, -6.5209582967873985, 1.6313495780906544, -5.517636999656206, -0.6702485675702939
3.69977070e-04, 1.84951046e-03, 4.73549055e-04, -9.448383218926551, 1.9840734367801482, -5.778253839434097, -0.24504835106931835
-1.25148892e-04, 1.93403716e-03, -1.60183278e-04, -11.015733305619335, 2.3486867434727845, -5.872817606840886, 0.07188565191745624
-5.98635475e-04, 1.68415127e-03, -7.66218466e-04, -10.896531092292946, 2.668276592521272, -5.785640805451053, 0.3903632683102
-9.68612545e-04, 1.14306033e-03, -1.23976752e-03, -9.062780074864918, 2.890727546661872, -5.533394273091904, 0.6473766260939555
-1.17110771e-03, 4.04323865e-04, -1.49894951e-03, -5.78688476361441, 2.95454570907705, -5.12894332160922, 0.8953216595944136
-1.17110771e-03, -4.04323865e-04, -1.49894951e-03, -1.6727364003967296, 2.8947713229174696, -4.7066005897966745, 0.8917240687103019
-9.68612545e-04, -1.14306033e-03, -1.23976752e-03, 2.5815389382319154, 2.697108304888913, -4.300933948202158, 0.7817563291629748
-5.98635475e-04, -1.68415127e-03, -7.66218466e-04, 6.201082037711444, 2.394807854646042, -3.9962324056073353, 0.5530111855531399
-1.25148892e-04, -1.93403716e-03, -1.60183278e-04, 8.456787613793551, 2.0560313147796148, -3.8725421080481133, 0.06133509656024662
