x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 2.8544561949712945, -4.986370097809192, -1.574767006784509
1.94469038e-03, 0.00000000e+00, 0.00000000e+00, 3.5463776176724195, 0.6769596459087198, -4.569682899404306, -1.7771912362116384
1.77656306e-03, 7.90976837e-04, 0.00000000e+00, -0.5757698842705281, 1.013694118538563, -5.1588859583316795, -1.7452126653722146
1.30125185e-03, 1.44518659e-03, 0.00000000e+00, -4.934654738288373, 1.6903365127968346, -5.731856053847679, -1.6765081009096845
6.00942377e-04, 1.84951046e-03, 0.00000000e+00, -8.988164945846677, 2.595374437588579, -6.18732070568692, -1.5588976704795872
-2.03275497e-04, 1.93403716e-03, 0.00000000e+00, -12.088317441972322, 3.534232819818868, -6.447743251748419, -1.44788089166518
-9.72345191e-04, 1.68415127e-03, 0.00000000e+00, -13.554691076445238, 4.350401640921003, -6.462398000673857, -1.3781655462997981
-1.57328757e-03, 1.14306033e-03, 0.00000000e+00, -12.880390007965389, 4.900207224590435, -6.215247686152017, -1.3551538364446452
-1.90219423e-03, 4.04323865e-04, 0.00000000e+00, -10.012716747621766, 5.098303447606499, -5.7497789178514624, -1.3590690263984937
-1.90219423e-03, -4.04323865e-04, 0.00000000e+00, -5.470826096976168, 4.892332636534536, -5.14259625858879, -1.4086426622520272
-1.57328757e-03, -1.14306033e-03, 0.00000000e+00, -0.2301756728297164, 4.354167420295186, -4.521542715001659, -1.4719460973154517
-9.72345191e-04, -1.68415127e-03, 0.00000000e+00, 4.580498020761411, 3.563578823664542, -3.9843606664873943, -1.5570243991646273
-2.03275497e-04, -1.93403716e-03, 0.00000000e+00, 8.015288253916992, 2.6527708059227995, -3.629135678133641, -1.6409821303563468
6.00942377e-04, -1.84951046e-03, 0.00000000e+00, 9.548049747054506, 1.789823560673199, -3.5212324213209683, -1.691376756992509
1.30125185e-03, -1.44518659e-03, 0.00000000e+00, 9.094856090895007, 1.0991784644559512, -3.6656667478285545, -1.7497595158485395
1.77656306e-03, -7.90976837e-04, 0.00000000e+00, 6.938083794154295, 0.7036199263574864, -4.035960610559283, -1.7870517390111218
1.19727095e-03, 0.00000000e+00, 1.53243693e-03, -0.6910314276414056, 1.3701850418855035, -4.639302026055381, -2.563426024646455
1.09376144e-03, 7.90976837e-04, 1.39995080e-03, -4.553650443148058, 1.6636311949903124, -5.239547953003263, -2.4556674652023243
8.01130636e-04, 1.44518659e-03, 1.02540045e-03, -7.968348902892956, 2.160856565276419, -5.791355613416109, -2.1833647303364767
3.69977070e-04, 1.84951046e-03, 4.73549055e-04, -10.448617419590505, 2.797634095083957, -6.214805429757192, -1.7977365726238002
-1.25148892e-04, 1.93403716e-03, -1.60183278e-04, -11.55803425398193, 3.447523771002526, -6.439007933260139, -1.3531796948349184
-5.98635475e-04, 1.68415127e-03, -7.66218466e-04, -11.010285811601307, 4.011007915347563, -6.417712372498904, -0.9746913637801387
-9.68612545e-04, 1.14306033e-03, -1.23976752e-03, -8.699068316188175, 4.352418882514212, -6.1416788405011555, -0.678798936043582
-1.17110771e-03, 4.04323865e-04, -1.49894951e-03, -4.960951114482498, 4.447234703377221, -5.651589280924491, -0.5095883991830096
-1.17110771e-03, -4.04323865e-04, -1.49894951e-03, -0.49662306093199504, 4.2506195828247835, -5.029653449366781, -0.5307232553510132
-9.68612545e-04, -1.14306033e-03, -1.23976752e-03, 3.770097475156774, 3.8137185121834434, -4.409881729496247, -0.7479647555561048
-5.98635475e-04, -1.68415127e-03, -7.66218466e-04, 6.9538606555858, 3.2132711242419, -3.9187844070304685, -1.1423723192745754
